Date;Filière;Valeur (TWh);Nature
2025-08;"Nucléaire";28,619545303237;Données Consolidées
2025-09;"Nucléaire";29,148670584581;Données Consolidées
2025-10;"Nucléaire";30,38235590784;Données Consolidées
2025-11;"Nucléaire";34,042689887514;Données Consolidées
1995-01;"Hydraulique";7,716;Données Consolidées
1995-02;"Hydraulique";7,403;Données Consolidées
1995-03;"Hydraulique";8,33;Données Consolidées
1995-04;"Hydraulique";6,564;Données Consolidées
1995-05;"Hydraulique";7,624;Données Consolidées
1995-06;"Hydraulique";7,101;Données Consolidées
1995-07;"Hydraulique";6,325;Données Consolidées
1995-08;"Hydraulique";4,538;Données Consolidées
1995-09;"Hydraulique";5,324;Données Consolidées
1995-10;"Hydraulique";4,69;Données Consolidées
1995-11;"Hydraulique";4,484;Données Consolidées
1995-12;"Hydraulique";5,691;Données Consolidées
1996-01;"Hydraulique";7,083;Données Consolidées
1996-02;"Hydraulique";6,652;Données Consolidées
1996-03;"Hydraulique";5,788;Données Consolidées
1996-04;"Hydraulique";4,849;Données Consolidées
1996-05;"Hydraulique";6,481;Données Consolidées
1996-06;"Hydraulique";6,173;Données Consolidées
1996-07;"Hydraulique";5,423;Données Consolidées
1996-08;"Hydraulique";4,398;Données Consolidées
1996-09;"Hydraulique";4,16;Données Consolidées
1996-10;"Hydraulique";4,534;Données Consolidées
1996-11;"Hydraulique";6,017;Données Consolidées
1996-12;"Hydraulique";8,375;Données Consolidées
1997-01;"Hydraulique";7,622;Données Consolidées
1997-02;"Hydraulique";5,982;Données Consolidées
1997-03;"Hydraulique";5,32;Données Consolidées
1997-04;"Hydraulique";4,461;Données Consolidées
1997-05;"Hydraulique";5,75;Données Consolidées
1997-06;"Hydraulique";5,946;Données Consolidées
1997-07;"Hydraulique";6,626;Données Consolidées
1997-08;"Hydraulique";5,045;Données Consolidées
1997-09;"Hydraulique";4,564;Données Consolidées
1997-10;"Hydraulique";4,48;Données Consolidées
1997-11;"Hydraulique";4,919;Données Consolidées
1997-12;"Hydraulique";6,512;Données Consolidées
1998-01;"Hydraulique";6,864;Données Consolidées
1998-02;"Hydraulique";5,133;Données Consolidées
1998-03;"Hydraulique";5,152;Données Consolidées
1998-04;"Hydraulique";6,204;Données Consolidées
1998-05;"Hydraulique";6,425;Données Consolidées
1998-06;"Hydraulique";6,259;Données Consolidées
1998-07;"Hydraulique";4,333;Données Consolidées
1998-08;"Hydraulique";3,404;Données Consolidées
1998-09;"Hydraulique";4,024;Données Consolidées
1998-10;"Hydraulique";6,085;Données Consolidées
1998-11;"Hydraulique";6,365;Données Consolidées
1998-12;"Hydraulique";5,547;Données Consolidées
1999-01;"Hydraulique";5,242;Données Consolidées
1999-02;"Hydraulique";6,281;Données Consolidées
1999-03;"Hydraulique";6,894;Données Consolidées
1999-04;"Hydraulique";6,589;Données Consolidées
1999-05;"Hydraulique";8,47;Données Consolidées
1999-06;"Hydraulique";7,103;Données Consolidées
1999-07;"Hydraulique";5,762;Données Consolidées
1999-08;"Hydraulique";4,966;Données Consolidées
1999-09;"Hydraulique";4,985;Données Consolidées
1999-10;"Hydraulique";6,307;Données Consolidées
1999-11;"Hydraulique";6,719;Données Consolidées
1999-12;"Hydraulique";7,376;Données Consolidées
2000-01;"Hydraulique";5,738;Données Consolidées
2000-02;"Hydraulique";5,61;Données Consolidées
2000-03;"Hydraulique";6,087;Données Consolidées
2000-04;"Hydraulique";6,201;Données Consolidées
2000-05;"Hydraulique";7,575;Données Consolidées
2000-06;"Hydraulique";6,252;Données Consolidées
2000-07;"Hydraulique";5,072;Données Consolidées
2000-08;"Hydraulique";4,702;Données Consolidées
2000-09;"Hydraulique";4,584;Données Consolidées
2000-10;"Hydraulique";5,593;Données Consolidées
2000-11;"Hydraulique";7,352;Données Consolidées
2000-12;"Hydraulique";6,827;Données Consolidées
2001-01;"Hydraulique";7,678;Données Consolidées
2001-02;"Hydraulique";6,641;Données Consolidées
2001-03;"Hydraulique";8,341;Données Consolidées
2001-04;"Hydraulique";8,642;Données Consolidées
2001-05;"Hydraulique";8,687;Données Consolidées
2001-06;"Hydraulique";7,086;Données Consolidées
2001-07;"Hydraulique";6,585;Données Consolidées
2001-08;"Hydraulique";4,884;Données Consolidées
2001-09;"Hydraulique";4,53;Données Consolidées
2001-10;"Hydraulique";4,93;Données Consolidées
2001-11;"Hydraulique";4,506;Données Consolidées
2001-12;"Hydraulique";4,8;Données Consolidées
2002-01;"Hydraulique";4,423;Données Consolidées
2002-02;"Hydraulique";4,222;Données Consolidées
2002-03;"Hydraulique";5,739;Données Consolidées
